Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Domaine De La Grenaudière;-;Gold;95;France;Loire;Muscadet Sèvre et Maine Clisson;2017;White
Specogna;Malvasia Riserva;Gold;95;Italy;Friuli-Venezia Giulia;Colli Orientali del Friuli;2017;White
Bodegas Santa Eulalia;Conde De Siruela;Gold;95;Spain;Ribera del Duero;Reserva;2017;Red
Bodegas Trus;-;Gold;96;Spain;Ribera del Duero;Reserva;2017;Red
Tiansai Vineyards;Skyline of Gobi Grand Reserve Marselan;Gold;95;China (Mainland);Xinjiang;Yanqi;2017;Red
Klet Brda;De Baguer Merlot-Cabernet Franc;Gold;95;Slovenia;Primorska;Goriška Brda;2017;Red
Klet Brda;A Plus;Gold;95;Slovenia;Primorska;Goriška Brda;2017;Red
Vinogradi Nuić;Syrah;Gold;95;Bosnia and Herzegovina;Mostarsko Vinogorje;Not Applicable;2017;Red
Puchang Vineyard;Viaseres Reserve Saperavi;Gold;96;China (Mainland);Xinjiang;Turpan;2017;Red
Bodegas Montecillo;Viña Monty Viura;Gold;96;Spain;Rioja;Reserva;2017;White
Zenato;Sergio Zenato;Gold;95;Italy;Veneto;Amarone della Valpolicella Classico Riserva;2017;Red
Erdevik;Stifler's Mom Shiraz;Gold;95;Serbia;Srem;Fruška Gora;2017;Red
Chaffey Bros;Tripelpunkt;Gold;95;Australia;South Australia;Eden Valley;2017;White
Feudo Cavaliere;Millemetri;Gold;95;Italy;Sicily;Etna;2017;White
Escapades;Semillion-Sauvignon Blanc;Gold;95;South Africa;Coastal Region;Not Applicable;2017;White
Ernie Els Wines;Signature;Gold;95;South Africa;Stellenbosch;Helderberg;2017;Red
Valsangiacomo Vini;Valsangiacomo;Gold;95;Switzerland;Ticino;Not Applicable;2017;Red
Tbilvino;-;Gold;95;Georgia;Kakheti;Mukuzani;2021;Red
Yering Station;Reserve Chardonnay;Gold;95;Australia;Victoria;Yarra Valley;2021;White
Adegas Valdavia;Cuñas Davia Barrica;Gold;95;Spain;Ribeiro;Not Applicable;2021;White
