Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Marqués De La Concordia;Federico Paternina Organic Brut;Bronze;86;Spain;Cava;Not Applicable;2021;White
Marqués De La Concordia;Monistrol Reserva Organic Brut Nature;Bronze;88;Spain;Cava;Not Applicable;2021;White
Marqués De La Concordia;Monistrol Reserva Organic Rosé Brut;Bronze;87;Spain;Cava;Not Applicable;2021;Rosé
Marqués De La Concordia;Federico Paternina Organic Rosé Brut;Bronze;88;Spain;Cava;Not Applicable;2021;Rosé
Cantine Lombardini;1925 Brut;Bronze;87;Italy;Emilia-Romagna;Lambrusco di Sorbara;2021;Red
Cantine Lombardini;Brut;Bronze;88;Italy;Emilia-Romagna;Lambrusco Reggiano Secco;2021;Red
Fattoria Conca d'Oro;Extra Dry;Bronze;87;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore;2021;White
Aleksic;Zuti Cvet Tamjanika Sec;Bronze;86;Serbia;Nišava-South Morava;Vranje;2021;White
Della Vite;Rosé Extra Dry;Bronze;88;Italy;Veneto;Prosecco Treviso;2021;Rosé
Col Dei Franchi;Caj Extra Dry;Bronze;88;Italy;Veneto;Prosecco;2021;White
Montelvini;F333M Brut;Bronze;86;Italy;Veneto;Prosecco Asolo Superiore;2021;White
Mionetto;Luxury Collection Rosé Extra Dry;Bronze;86;Italy;Veneto;Prosecco;2021;Rosé
Carpenè Malvolti;1868 Rive Di San Pietro Di Barbozza Brut;Bronze;87;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore Rive;2021;White
Le Contesse;Extra Dry;Bronze;87;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore;2021;White
Le Contesse;Extra Dry;Bronze;87;Italy;Veneto;Prosecco Treviso;2021;White
Valdo;Tenuta La Maredana Rosè Brut;Bronze;86;Italy;Veneto;Prosecco Treviso;2021;Rosé
Cantina Di Rauscedo;Rosè Brut;Bronze;89;Italy;Friuli-Venezia Giulia;Prosecco;2021;Rosé
Dotta;Rive Di Refrontolo Extra Brut;Bronze;88;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore Rive;2021;White
Strada Weinkellerei;Rosé Dry;Bronze;86;Switzerland;Vin de Pays;Not Applicable;2021;Rosé
Sommariva;Rive Di San Michele Extra Dry;Bronze;88;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore Rive;2021;White
Perelada;Stars Touch of Rosé Brut;Bronze;88;Spain;Cava;Not Applicable;2021;Rosé
Cantina Di Solopaca;Oro Brut;Bronze;87;Italy;Campania;Falanghina del Sannio;2021;White
Terre Di San Venanzio Fortunato;Di San Pietro Di Barbozza Brut;Bronze;87;Italy;Veneto;Prosecco di Conegliano Valdobbiadene Superiore Rive;2021;White
Col De l'Utia;Extra-Dry;Bronze;86;Italy;Veneto;Prosecco di Valdobbiadene Superiore;2021;White
Sensi;18 K Pas Dosé;Bronze;86;Italy;Veneto;Prosecco;2021;White
Ca' Del Gè;Pas Dosè;Bronze;87;Italy;Lombardy;Oltrepò Pavese Metodo Classico;2017;White
Sinefinis;Rebolium Brut;Bronze;88;Slovenia;Primorska;Goriška Brda;2017;White
Takahata Winery;Prise De Mousse Happou Chardonnay Brut;Bronze;89;Japan;Tohoku;Yamagata;2017;White
Cantine Di Nessuno;Apum Brut;Bronze;87;Italy;Sicily;Etna;2017;White
Maison Louis Bouillot;Grands Terroirs Chenôvre Extra-Brut;Bronze;88;France;Burgundy;Crémant de Bourgogne;2017;White
Maison Louis Bouillot;Grands Terroirs Les Lavots Extra-Brut;Bronze;87;France;Burgundy;Crémant de Bourgogne;2017;White
Maison S Delafont;Extra Brut;Bronze;87;France;Languedoc-Roussillon;Crémant de Limoux;2017;White
Pierre Grandin;Les Noriats Brut Premier Cru;Bronze;87;France;Champagne;Champagne;2017;White
Telmont;Cuvée Réserve De La Terre Extra Brut;Bronze;89;France;Champagne;Champagne;2017;White
180 Estate Winery;Icewine Riesling;Bronze;89;Canada;Ontario - Niagara Peninsula;Not Applicable;2017;White
Maison Louis Picamelot;Cuvée Jeanne Thomas Blanc de Blancs Extra Brut;Bronze;87;France;Burgundy;Crémant de Bourgogne;2017;White
Roebuck Estates;Rosé De Noirs Brut;Bronze;87;United Kingdom;West Sussex;Not Applicable;2017;Rosé
Chandon;Brut;Bronze;86;United States;California;Yountville;2017;White
Chandon;Terroir Brut;Bronze;89;United States;California;Los Carneros;2017;White
Florence Duchêne;Maputi Pas Dosé Premier Cru;Bronze;88;France;Champagne;Champagne;2017;White
Jackson-Triggs;Grand Reserve Entourage Sparkling Rosé;Bronze;87;Canada;Ontario - Niagara Peninsula;Not Applicable;2017;Rosé
Rosehall Run;Ceremony Blanc De Blancs;Bronze;89;Canada;Ontario - Prince Edward County;Not Applicable;2017;White
Tawse Winery;Spark Brut;Bronze;88;Canada;Ontario - Niagara Peninsula;Not Applicable;2017;White
Madre De Água;Vinhas Velhas;Bronze;88;Portugal;Dão;Serra da Estrela;2017;Red
Chateau Bzenec;Ryzlink Rýnský;Bronze;88;Czech Republic;Moravia;Slovácká;2017;White
Famiglia Pasqua;Cascina San Vincenzo;Bronze;88;Italy;Veneto;Amarone della Valpolicella;2017;Red
Masi;Costasera;Bronze;89;Italy;Veneto;Amarone della Valpolicella Classico;2017;Red
Apothic;Cabernet Sauvignon;Bronze;86;United States;California;Not Applicable;2021;Red
Solnato;-;Bronze;86;Italy;Lazio;Roma;2021;White
Solnato;Roma;Bronze;87;Italy;Lazio;Roma;2021;Red
Franciscan;Chardonnay;Bronze;86;United States;California;Not Applicable;2021;White
Dark Horse;Chardonnay;Bronze;86;United States;California;Not Applicable;2021;White
Cacadu Ridge;Bin 14 Organic Cabernet-Shiraz;Bronze;86;Australia;South Eastern Australia;Not Applicable;2021;Red
The Yoga;Organic Syrah;Bronze;87;Italy;Sicily;Terre Siciliane;2021;Red
Tonno;Syrah;Bronze;87;Italy;Sicily;Terre Siciliane;2021;Red
J Vineyards;Chardonnay;Bronze;87;United States;California;Multi-Regional Blend;2021;White
The Dogfather;Reserve Zinfandel;Bronze;87;United States;California;Lodi;2021;Red
Cecilia Simon;Cecilia Simon;Bronze;86;Hungary;Dunántúl;Ászár-Neszmély;2021;White
Stepp;S Riesling;Bronze;89;Germany;Pfalz;Not Applicable;2021;White
Casa Ermelinda Freitas;Valoroso Cabernet Sauvignon-Touriga Nacionalsyrah;Bronze;86;Portugal;Peninsula de Setúbal;Not Applicable;2021;Red
Barbanera;Gigino;Bronze;86;Italy;Tuscany;Toscana;2021;White
Mezzacorona;Castel Firmian Merlot;Bronze;88;Italy;Trentino-Alto Adige/Südtirol;Trentino;2021;Red
Carl Loewen;Alte Reben Riesling;Bronze;88;Germany;Mosel;Not Applicable;2021;White
Montidori;Sangiovese;Bronze;87;Italy;Emilia-Romagna;Romagna;2021;Red
Stemmari;Passiata;Bronze;88;Italy;Sicily;Terre Siciliane;2021;Red
Vinicola Tombacco;Aglianico;Bronze;87;Italy;Campania;Beneventano;2021;Red
Cramele Recas;Pasari Chardonnay-Feteasca Regala;Bronze;87;Romania;Banat;Recas;2021;White
Cramele Recas;Zana Pinot Noir;Bronze;86;Romania;Banat;Recas;2021;Red
Azienda Agraria Guerrieri;Guerriero Bianco;Bronze;88;Italy;Le Marche;Marche;2021;White
Brugnano;Her Perricone;Bronze;86;Italy;Sicily;Terre Siciliane;2021;Red
Vidigal;Porta 6;Bronze;86;Portugal;Lisboa;Not Applicable;2021;Red
Vidigal;Porta 6;Bronze;87;Portugal;Lisboa;Not Applicable;2021;Red
Mey Diageo;Kayra Beyaz Kalecik Karası;Bronze;88;Turkey;Aegean Coast Region;Denizli Guney;2021;Rosé
Mammoth;Zinfandel;Bronze;88;Italy;Puglia;Puglia;2021;Red
No Bull;Zinfandel;Bronze;87;United States;California;Not Applicable;2021;Red
No Bull;Petite Sirah;Bronze;88;United States;California;Lodi;2021;Red
Parras;Evidência Reserva Touriga Nacional;Bronze;89;Portugal;Dão;Not Applicable;2021;Red
Montaria;-;Bronze;86;Portugal;Lisboa;Not Applicable;2021;Red
Pierre Sparr Succeseurs;Grande Réserve Pinot Blanc;Bronze;87;France;Alsace;Alsace;2021;White
Pierre Sparr Successeurs;Grande Réserve Pinot Gris;Bronze;88;France;Alsace;Not Applicable;2021;White
Pierre Sparr Successeurs;Riesling;Bronze;86;France;Alsace;Grand Cru Schoenenbourg;2021;White
Cave De Beblenheim;Vieilles Vignes Pinot Blanc;Bronze;86;France;Alsace;Alsace;2021;White
Virgile Joly;Syrah;Bronze;87;France;Languedoc-Roussillon;IGP Pays d'Oc;2021;Red
Gurra Gurra Creek;Organic Shiraz;Bronze;87;Australia;South Australia;Riverland;2021;Red
Viñedos Puertas;Tronador Reserva Carmenère-Cabernet Sauvignon;Bronze;88;Chile;Curicó;Not Applicable;2021;Red
Mare Magnum;Megazin Zinfandel;Bronze;86;Italy;Puglia;Puglia;2021;Red
Mare Magnum;Mauro Primitivo Alberello;Bronze;86;Italy;Puglia;Salento;2021;Red
Mare Magnum;Gloria Nerello Mascalese;Bronze;86;Italy;Sicily;Terre Siciliane;2021;Red
Mare Magnum;Megazin Zinfandel;Bronze;86;United States;California;Not Applicable;2021;Red
Mare Magnum;Down Under Organic Shiraz-Cabernet Sauvignon;Bronze;87;Australia;Cross-Regional Blend;Not Applicable;2021;Red
Mare Magnum;Turtle Dreaming Cabernet Sauvignon-Shiraz;Bronze;88;Australia;South Eastern Australia;Not Applicable;2021;Red
Mare Magnum;Down Under Shiraz-Cabernet Sauvignon;Bronze;89;Australia;South Australia;Not Applicable;2021;Red
Mare Magnum;Backwoods Reserve Zinfandel;Bronze;87;United States;California;Lodi;2021;Red
Mare Magnum;Footsteps Zinfandel Reserve;Bronze;86;United States;California;Lodi;2021;Red
Mare Magnum;Zingled Out Zinfandel;Bronze;87;United States;California;Lodi;2021;Red
De Mar;Rajnski Rizling;Bronze;88;Croatia;Continental;Zagorje - Međimurje;2021;White
Mare Magnum;Raccolto Nero D'Avola-Cabernet Sauvignon;Bronze;89;Italy;Sicily;Sicilia;2021;Red
Mare Magnum;Crudo Nero D'Avola-Cabernet;Bronze;89;Italy;Sicily;Sicilia;2021;Red
Cave De Beblenheim;Riesling;Bronze;89;France;Alsace;Grand Cru Schoenenbourg;2021;White
Masso Antico;Le Anfore;Bronze;88;Italy;Puglia;Salento;2021;Red
Crudo;Frappato;Bronze;87;Italy;Sicily;Sicilia;2021;Red
Cantine San Marzano;F Negroamaro;Bronze;86;Italy;Puglia;Salento;2021;Red
Cantine San Marzano;Talò;Bronze;88;Italy;Puglia;Primitivo di Manduria;2021;Red
Vina Mramor;Premium Zeleni Silvanec;Bronze;87;Slovenia;Podravje;Štajerska Slovenija;2021;White
Grant Burge;Ink Shiraz;Bronze;86;Australia;South Australia;Barossa;2021;Red
Familia Torres;Waltraud Riesling;Bronze;87;Spain;Penedès;Penedès;2021;White
Blomidon Estate Winery;Small Lot Series;Bronze;86;Canada;Nova Scotia;Not Applicable;2021;White
Cantina San Donaci;ASSìNA Susumaniello;Bronze;87;Italy;Puglia;Salento;2021;Red
Weingut Von Winning;Deidesheim Mäushöhle Riesling;Bronze;88;Germany;Pfalz;Not Applicable;2021;White
Ca'botta;La Callaia;Bronze;88;Italy;Lombardy;Benaco Bresciano;2021;White
Ca'botta;Tenuta Soprazocco Riesling;Bronze;87;Italy;Lombardy;Garda;2021;White
Cocoon;Zinfandel;Bronze;86;United States;California;Lodi;2021;Red
Oroszlános Borbirtok;Hasznos Dűlő Furmint;Bronze;88;Hungary;Tokaj;Not Applicable;2021;White
Big Boys;Zinfandel;Bronze;87;Italy;Puglia;Puglia;2021;Red
Patricius;Profundum Furmint;Bronze;87;Hungary;Tokaj;Not Applicable;2021;White
Pz Ivanec;Muškat žUti;Bronze;86;Croatia;Continental;Zagorje - Međimurje;2021;White
Benkő Stephen Ernest;Radka;Bronze;87;Hungary;Tokaj;Not Applicable;2021;White
Matočec;Graševina;Bronze;89;Croatia;Continental;Prigorje - Bilogora;2021;White
Pliniana;Re Noire;Bronze;86;Italy;Puglia;Primitivo di Manduria;2021;Red
Leone De Castris;Villa Santera;Bronze;87;Italy;Puglia;Primitivo di Manduria;2021;Red
Galante;Appassimento;Bronze;87;Italy;Emilia-Romagna;Romagna;2021;Red
Thaya Vinařství;Ryzlink Rýnský;Bronze;87;Czech Republic;Moravia;Znojmo;2021;White
Vino Krajnc;Traminec;Bronze;89;Slovenia;Podravje;Not Applicable;2021;White
Vinarija Matela;Crljenak Kaštelanski Esenca;Bronze;87;Croatia;Coastal;Srednja i Južna Dalmacija;2021;Red
Le Celline;Schioppettino;Bronze;88;Italy;Friuli-Venezia Giulia;Venezia Giulia;2021;Red
Terre Cevico;Extroso;Bronze;87;Italy;Emilia-Romagna;Rubicone;2021;Red
Terre Cevico;Tutto È Possibile Merlot;Bronze;88;Italy;Emilia-Romagna;Rubicone;2021;Red
Domaine La Prut;Riesling;Bronze;86;Moldova;Codru;Not Applicable;2021;White
Farina;Montecorna;Bronze;87;Italy;Veneto;Valpolicella Classico Superiore Ripasso;2021;Red
Agricola Pliniana;Priscus;Bronze;86;Italy;Puglia;Primitivo di Manduria;2021;Red
Whitehall Vineyard;Charlotte May Rosé;Bronze;86;United Kingdom;Wiltshire;Not Applicable;2021;Rosé
Piccini;Histrio;Bronze;88;Italy;Tuscany;Toscana;2021;Red
Tenute Chiaromonte;Mascherone Primitivo;Bronze;87;Italy;Puglia;Puglia;2021;Red
Maison aux Pois;Furmint;Bronze;89;Hungary;Tokaj;Not Applicable;2021;White
Maison aux Pois;Sauvignon Blanc;Bronze;86;Hungary;Tokaj;Not Applicable;2021;White
Munđarov Breg;Pušipel Classic;Bronze;88;Croatia;Continental;Zagorje - Međimurje;2021;White
Vinarstvi Rochuz;Ryzlink Rynsky;Bronze;87;Czech Republic;Moravia;Slovácká;2021;White
Vinarstvi Rochuz;Rulandské Šedé;Bronze;88;Czech Republic;Moravia;Slovácká;2021;White
Vinarstvi Rochuz;Palava;Bronze;87;Czech Republic;Moravia;Slovácká;2021;White
Vinarstvi Rochuz;Ryzlink Rýnský;Bronze;87;Czech Republic;Moravia;Slovácká;2021;White
Vinarstvi Pavlov;Rulandské šEdé;Bronze;89;Czech Republic;Moravia;Mikulovská;2021;White
Víno Mikulov;Sommelier Chardonnay;Bronze;88;Czech Republic;Moravia;Mikulovská;2021;White
Puklavec Family Wines;Puklavec & Friends Sauvignon Blanc & Chardonnay;Bronze;86;Slovenia;Podravje;Štajerska Slovenija;2021;White
Maestro Wine;Secret Blend;Bronze;86;Moldova;Not Applicable;Not Applicable;2021;Red
Sonberk;Pálava V.O.C;Bronze;88;Czech Republic;Moravia;Mikulovská;2021;White
Sonberk;Riesling v.o.c;Bronze;88;Czech Republic;Moravia;Mikulovská;2021;White
Vinařství Mikrosvin;Perná Goldhammer Ryzlink Vlašský;Bronze;88;Czech Republic;Moravia;Mikulovská;2021;White
Winnica Niemczańska;Pálava;Bronze;87;Poland;Not Applicable;Not Applicable;2021;White
Fattoria San Francesco;Vignacorta;Bronze;88;Italy;Calabria;Not Applicable;2021;Red
Podrum Danguba;Ponovo Naše Tamjanika;Bronze;86;Serbia;Srem;Fruška Gora;2021;White
Peter Lehmann;The Barossan Cabernet Sauvignon;Bronze;89;Australia;South Australia;Barossa;2021;Red
Yellow Tail;Reserve Merlot;Bronze;87;Australia;South Eastern Australia;Not Applicable;2021;Red
Felline;-;Bronze;86;Italy;Puglia;Primitivo di Manduria;2021;Red
Stefano Di Blasi;Leggermente Appassite;Bronze;88;Italy;Sicily;Terre Siciliane;2021;White
Cantine Romagnoli;Vizzo;Bronze;86;Italy;Emilia-Romagna;Emilia;2021;Red
Quinta De S. Sebastião;Arreio;Bronze;87;Portugal;Lisboa;Not Applicable;2021;Red
Quinta De S. Sebastião;Miradouro Da Vinha;Bronze;87;Portugal;Lisboa;Not Applicable;2021;Red
Rabbit & Spaghetti;Tempranillo-Mataro-Grenache;Bronze;89;Australia;South Australia;Not Applicable;2021;Red
Budureasca;Clasic Fetească Neagră;Bronze;86;Romania;Muntenia & Oltenia;Dealurile Munteniei;2021;Red
Jackson-Triggs Niagara Estate;Grand Reserve Sauvignon Blanc;Bronze;89;Canada;Ontario - Niagara Peninsula;Not Applicable;2021;White
Jackson-Triggs Niagara Estate;Grand Reserve Riesling;Bronze;89;Canada;Ontario - Niagara Peninsula;Not Applicable;2021;White
Domaine des Béguineries;Clos Des Aubuis;Bronze;88;France;Loire;Chinon;2021;White
Daryl Rex Groom;D R G Wine With Heart;Bronze;87;United States;California;Not Applicable;2021;Red
Angelo Rocca;Podere Don Cataldo Primitivo;Bronze;89;Italy;Puglia;Salento;2021;Red
Angelo Rocca;Podere Don Cataldo Negroamaro;Bronze;88;Italy;Puglia;Salento;2021;Red
Miriam;Chenin Blanc;Bronze;86;United States;California;Not Applicable;2021;White
Weingut Schales;Cardinalis Dalsheimer Steig Riesling;Bronze;87;Germany;Rheinhessen;Not Applicable;2021;White
Weingut Schales;Mont Donnerre Pinot Blanc;Bronze;87;Germany;Rheinhessen;Not Applicable;2021;White
Weingut Schales;Cardinalis Weisser Burgunder;Bronze;87;Germany;Rheinhessen;Not Applicable;2021;White
Cantine Due Palme;Serre Susumaniello;Bronze;87;Italy;Puglia;Salento;2021;Red
Vinařství Kněží Hora;Johanniter;Bronze;88;Czech Republic;Moravia;Slovácká;2021;White
Winery Majić;Pošip;Bronze;88;Bosnia and Herzegovina;Ljubuški;Not Applicable;2021;White
Sandre;Acini Bianchi Traminer;Bronze;87;Italy;Veneto;Not Applicable;2021;White
Vinarija Gamanović;Bela Tamjanika;Bronze;86;Serbia;Timok;Krajina;2021;White
Sandbanks;Entre Nous Reserve Riesling;Bronze;89;Canada;Ontario - Generic;Not Applicable;2021;White
Bodegas Xenysel;Pie Franco Monastrell;Bronze;86;Spain;Jumilla;Not Applicable;2021;Red
Cedarcreek Estate Winery;Aspect Collection Block 3 Riesling;Bronze;87;Canada;British Columbia;Okanagan Valley;2021;White
Alvento Winery;West Wind;Bronze;87;Canada;Ontario - Generic;Not Applicable;2021;White
Mission Hill Family Estate;Terroir Collection Bluebird Passage Viognier;Bronze;89;Canada;British Columbia;Okanagan Valley;2021;White
Bodacious;-;Bronze;86;Portugal;Tejo;Not Applicable;2021;Red
Inniskillin;Reserve Riesling;Bronze;87;Canada;Ontario - Niagara Peninsula;Not Applicable;2021;White
Nk'mip Cellars;Dreamcatcher;Bronze;88;Canada;British Columbia;Okanagan Valley;2021;White
Jidvei;Grigorescu Feteasca Regala;Bronze;88;Romania;Transylvania;Târnave;2021;White
Asda;-;Bronze;89;Italy;Lombardy;Lugana;2021;White
See Ya Later Ranch;Gewürztraminer;Bronze;88;Canada;British Columbia;Okanagan Valley;2021;White
See Ya Later Ranch;Pinot Gris;Bronze;86;Canada;British Columbia;Okanagan Valley;2021;White
Asda;Extra Special Zinfandel;Bronze;86;United States;California;Lodi;2021;Red
Fort Berens Estate Winery;Reserve Riesling;Bronze;88;Canada;British Columbia;Lillooet;2021;White
Bestheim;Chasseurs De Lune Pinot Gris;Bronze;88;France;Alsace;Alsace;2021;White
Vina Dragic;Kibic;Bronze;86;Serbia;Banat;North Banat;2021;White
Tenute Venturini Foschi;Gemma Gentile Malvasia;Bronze;87;Italy;Emilia-Romagna;Emilia;2021;White
Marks & Spencer;Villalta I Comunali;Bronze;89;Italy;Veneto;Amarone della Valpolicella Classico;2018;Red
Sassodisole;-;Bronze;89;Italy;Tuscany;Brunello di Montalcino;2018;Red
Cesarini Sartori;Benozzo;Bronze;88;Italy;Umbria;Umbria;2018;Red
Bodegas Murviedro;Sericis Cepas Viejas Monastrell;Bronze;88;Spain;Alicante;Not Applicable;2018;Red
Piccini;Memoro Alta Vendemmia;Bronze;87;Italy;Vino da Tavola;Not Applicable;2018;Red
Agricola Pliniana;Plinius Maior;Bronze;88;Italy;Puglia;Primitivo di Manduria Riserva;2018;Red
Luciano Arduini;Simison;Bronze;89;Italy;Veneto;Amarone della Valpolicella Classico;2018;Red
Ca' Botta;Alta;Bronze;87;Italy;Veneto;Valpolicella Ripasso Superiore;2018;Red
Borgo Molino;Serna;Bronze;87;Italy;Veneto;Trevenezie;2018;Red
Villa Vetti;-;Bronze;86;Italy;Veneto;Not Applicable;2018;Red
Tenute Orestiadi;Il Rosso Di Ludovico Riserva;Bronze;89;Italy;Sicily;Sicilia;2018;Red
Cantina Valpantena;Torre Del Falasco;Bronze;89;Italy;Veneto;Valpolicella Ripasso Superiore;2018;Red
Cantine Ermes;Epicentro Nero D'avola Riserva;Bronze;87;Italy;Sicily;Sicilia;2019;Red
Barbanera;Gigino Grande;Bronze;87;Italy;Tuscany;Toscana;2019;Red
Mezzacorona;Castel Firmian Riserva;Bronze;88;Italy;Trentino-Alto Adige/Südtirol;Teroldego Rotaliano Superiore;2019;Red
Bodega Del Monge;Viña Ane Selección;Bronze;88;Spain;Rioja;Not Applicable;2019;Red
Viñedos Puertas;Huasu Reserva Especial Carmenère;Bronze;89;Chile;Curicó;Not Applicable;2019;Red
Casalfarneto;Cimaio;Bronze;89;Italy;Le Marche;Marche;2019;White
Cantine di Ora;Limited Edition Amicale;Bronze;86;Italy;Veneto;Verona;2019;Red
Cantina San Donaci;Anticaia;Bronze;87;Italy;Puglia;Salice Salentino Riserva;2019;Red
7colores;Gran Reserva Cabernet Sauvignon-Muscat;Bronze;88;Chile;Maipó Valley;Not Applicable;2019;Red
Mancura;Mito Gran Reserva Cabernet Sauvignon;Bronze;87;Chile;Maipó Valley;Not Applicable;2019;Red
Villa Yambol;Kabile Merlot & Cabernet Sauvignon;Bronze;87;Bulgaria;Southern Region - Thracian Lowland;Thracian Valley;2019;Red
Vinařství Dufek;VOC Slovácko Ryzlink Vlašský;Bronze;88;Czech Republic;Moravia;Slovácká;2019;White
Felline;Anarkos;Bronze;89;Italy;Puglia;Puglia;2019;Red
Tenuta Palmeri;Verde;Bronze;87;Italy;Sicily;Sicilia;2019;White
Antica Vigna;-;Bronze;87;Italy;Veneto;Valpolicella Ripasso Superiore;2019;Red
Castel di Salve;Lama del Tenente;Bronze;86;Italy;Puglia;Salento;2019;Red
Domaine Kirrenbourg;Roche Granitique Riesling;Bronze;86;France;Alsace;Alsace;2019;White
Alois Lageder;Löwengang;Bronze;88;Italy;Trentino-Alto Adige/Südtirol;Vigneti delle Dolomiti;2019;Red
Cantine Due Palme;Selvarossa Dei Confratelli;Bronze;88;Italy;Puglia;Salice Salentino Riserva;2019;Red
Nugan Estate;La Brutta Zinfandel-Petite Sirah;Bronze;87;Australia;South Eastern Australia;Not Applicable;2019;Red
Costa Arènte;-;Bronze;87;Italy;Veneto;Valpolicella Valpantena Ripasso Superiore;2019;Red
Canoso;Oltre;Bronze;87;Italy;Veneto;Verona;2020;White
De Simone Vineyards;Riesling;Bronze;89;Canada;Ontario - Niagara Peninsula;Niagara-on-the-Lake;2020;White
Vetrère;Lago Della Pergola Negroamaro;Bronze;89;Italy;Puglia;Salento;2019;Red
Hidden Bench Estate Winery;Riesling;Bronze;89;Canada;Ontario - Niagara Peninsula;Beamsville Bench;2020;White
Château D'Aigueville;-;Bronze;88;France;Rhône;Côtes du Rhône Villages Massif d'Uchaux;2020;Red
De Claricini;Guido Tavagnacco;Bronze;86;Italy;Friuli-Venezia Giulia;Venezia Giulia;2020;Red
Bella Terra Vineyards;Wild Ferment Riesling;Bronze;86;Canada;Ontario - Niagara Peninsula;Four Mile Creek;2020;White
Varvaglione 1921;Papale Oro;Bronze;87;Italy;Puglia;Primitivo di Manduria;2020;Red
Morrisons;The Best;Bronze;86;Italy;Veneto;Amarone della Valpolicella;2020;Red
Cantine Romagnoli Villo;Cuvée 15 Barbera;Bronze;86;Italy;Emilia-Romagna;Emilia;2020;Red
Cantine Romagnoli Villo;Malvasia;Bronze;88;Italy;Emilia-Romagna;Emilia;2020;White
Fonjoya Delta;Orimos;Bronze;86;France;Languedoc-Roussillon;IGP Saint-Guilhem-le-Désert;2020;Red
Scott Kelley;Pinot Noir;Bronze;86;United States;Oregon;Not Applicable;2020;Red
Varvaglione;Collezione Privata;Bronze;89;Italy;Puglia;Primitivo di Manduria;2020;Red
Benjamin Darnault;Cabernet Sauvignon+;Bronze;87;France;Generic;Vin de France;2020;Red
Peter Lehmann;The Barossan Shiraz;Bronze;87;Australia;South Australia;Barossa;2020;Red
Petroni;Unica Via Donna Viola Primitivo;Bronze;86;Italy;Puglia;Puglia;2020;Red
Yellow Tail;Reserve Shiraz;Bronze;87;Australia;South Eastern Australia;Not Applicable;2020;Red
Yellow Tail;Reserve Cabernet Sauvignon;Bronze;86;Australia;South Eastern Australia;Not Applicable;2020;Red
Cantine Romagnoli Villo';Michelangelo Da Caravaggio;Bronze;88;Italy;Emilia-Romagna;Emilia;2020;Red
Kamnik;Terroir Grand Reserva Vranec;Bronze;88;North Macedonia;Povardarje;Skopje;2020;Red
Casa Pecunia;Primus Appassimento;Bronze;86;Italy;Puglia;Puglia;2020;Red
Kutjevo;Maximo Graševina-Traminac;Bronze;88;Croatia;Continental;Slavonija;2020;White
Cantina Di Venosa;Verbo;Bronze;88;Italy;Basilicata;Aglianico del Vulture;2020;Red
Chateau Lion;Princess;Bronze;86;China (Mainland);Beijing;Fangshan;2020;White
Tenuta Antonini Alessio;24 Carati Rosso;Bronze;87;Italy;Abruzzo;Not Applicable;2020;Red
Remy Panier;Jardins De Loire;Bronze;88;France;Loire;Vouvray;2020;White
Jacob's Creek;Reserve Shiraz;Bronze;86;Australia;Cross-Regional Blend;Not Applicable;2020;Red
Erminio Campa;Li Cameli;Bronze;89;Italy;Puglia;Primitivo di Manduria Riserva;2020;Red
Leone De Castris;Maiana Rosso Negroamaro;Bronze;87;Italy;Puglia;Salice Salentino;2020;Red
Cantina San Donaci;Contrada Del Falco;Bronze;89;Italy;Puglia;Salento;2020;Red
Grant Burge;Ink Cabernet Sauvignon;Bronze;89;Australia;South Australia;Coonawarra;2020;Red
Sartori di Verona;Regolo;Bronze;86;Italy;Veneto;Valpolicella Classico Superiore Ripasso;2020;Red
Villa Annaberta;-;Bronze;88;Italy;Veneto;Amarone della Valpolicella;2020;Red
Cantine Riondo;Casalforte;Bronze;86;Italy;Veneto;Valpolicella Ripasso;2020;Red
Vivunt;-;Bronze;87;Italy;Veneto;Valpolicella Ripasso Superiore;2020;Red
Voo Real;Grande Escolha;Bronze;86;Portugal;Lisboa;Not Applicable;2020;Red
Vidigal;Porta 6 Reserva;Bronze;87;Portugal;Lisboa;Not Applicable;2020;Red
Ca' Botta;Cerviero;Bronze;89;Italy;Veneto;Not Applicable;2020;Red
Torrevento;Seduttore;Bronze;88;Italy;Puglia;Primitivo di Manduria;2020;Red
Masso Antico;Il Potere;Bronze;87;Italy;Puglia;Puglia;2020;Red
Cantina di Verona;Terre Di Verona;Bronze;88;Italy;Veneto;Amarone della Valpolicella;2020;Red
Cantina di Verona;Terre Di Verona;Bronze;86;Italy;Veneto;Valpolicella Ripasso Superiore;2020;Red
Azienda Agraria Guerrieri;Guerriero Della Terra;Bronze;88;Italy;Le Marche;Marche;2020;Red
Friedrich-Wilhelm-Gymnasium;Graacher Domprobst Riesling;Bronze;88;Germany;Mosel;Spätlese Halbtrocken;2020;White
Cantine De Falco;Falco Nero;Bronze;87;Italy;Puglia;Salice Salentino Riserva;2020;Red
Biscardo;3 Ori Sangiovese-Merlot-Cabernet;Bronze;87;Italy;Vino da Tavola;Not Applicable;2020;Red
Feudo Arancio;Cantodoro Riserva;Bronze;88;Italy;Sicily;Sicilia;2020;Red
Mcpherson Wine;Don't Tell Gary;Bronze;86;Australia;Victoria;Central Victoria;2020;Red
